Symbol,CMP,Score,Grade,Quality,Growth,Technical,Momentum,PE,Fwd_PE,ROE_%,Rev_Growth_%,EPS_Growth_%,Debt_Eq,Div_Yield_%,RSI,Target,Stop_Loss,Target_Low,Target_High,Profit_%,Risk_%,Target_%,Target_%_Low,Target_%_High,SL_%,RR_Ratio,Sector_Bucket,Sector_Label,Valuation_Methods_Used,Valuation_Method_Detail,ATR_Used,Structural_Low_20D,Real_Analyst_Target_Status,Real_Analyst_Target_Avg,Real_Analyst_Target_Low,Real_Analyst_Target_High,Real_Analyst_Num_Analysts,Target_Disclaimer,Reasons,Horizon,Quality_Score,Quality_Signals,Shares_To_Buy,Deploy_₹,Max_Risk_₹,%_of_Portfolio,Market_Regime,Is_Top_Pick
NATIONALUM,350.05,82,STRONG BUY,27,25,8,12,10.47,9.44,,39.3,91.1,0.277,2.29,46.3,472.57,336.05,420.06,525.07,35.0,4.0,35.0,20.0,50.0,4.0,8.8,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +50.0%,7.0,332.0,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.277 — fortress balance sheet (+15) | PEG ~0.11 — undervalued vs growth | Dividend 2.29% — paid to hold | EPS growth 91.1% — explosive | Revenue growth 39.3% — exceptional,1-2 years,7,Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅ | Q9: PEG<1.5 ✅,17.0,5959.0,238.0,4.4,RECOVERY,True
OFSS,11186.0,79,STRONG BUY,27,25,13,4,28.57,24.67,49.9,68.7,120.2,0.567,5.94,38.9,15101.1,10738.56,13423.2,16779.0,35.0,4.0,35.0,20.0,50.0,4.0,8.8,it_services,IT Services,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +50.0%,223.72,9937.0,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 49.9% — excellent | D/E 0.567 — manageable | PEG ~0.24 — undervalued vs growth | Dividend 5.94% — paid to hold | EPS growth 120.2% — explosive,1-2 years,9,Q1: ROE>0 ✅ | Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q6: ROE>15% ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅ | Q9: PEG<1.5 ✅,0.0,5519.0,221.0,4.0,RECOVERY,True
SYRMA,1366.8,72,BUY,20,30,8,4,70.93,43.61,,68.3,86.0,0.13,11.0,41.9,1612.82,1312.13,1514.41,1686.63,18.0,4.0,18.0,10.799999999999999,23.400000000000002,4.0,4.5,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,27.34,1257.0,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.13 — fortress balance sheet (+15) | Dividend 11.0% — paid to hold | EPS growth 86.0% — explosive | Revenue growth 68.3% — exceptional | Earnings accelerating (fwd PE 43.61 vs 70.93),1-2 years,7,Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅ | Q9: PEG<1.5 ✅,4.0,5732.0,229.0,4.2,RECOVERY,True
AUBANK,1047.3,67,BUY,12,23,16,12,27.78,17.25,,29.8,35.1,,10.0,47.2,1413.86,1005.41,1256.76,1570.95,35.0,4.0,35.0,20.0,50.0,4.0,8.8,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +50.0%,20.95,959.07,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.79 — undervalued vs growth | Dividend 10.0% — paid to hold | EPS growth 35.1% — strong | Revenue growth 29.8% | Earnings accelerating (fwd PE 17.25 vs 27.78),1-2 years,6,Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q5: P/B positive ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅ | Q9: PEG<1.5 ✅,6.0,5943.0,238.0,4.4,RECOVERY,True
INDIANB,836.5,67,BUY,18,15,12,12,8.81,7.66,16.17,10.3,47.5,,2.18,47.4,1059.01,803.04,926.84,1254.75,26.6,4.0,26.6,10.799999999999999,50.0,4.0,6.6,psu_bank,Banking,"pe_anchored, peg_1.0_fair_value, roe_pb_implied",pe_anchored: +20.0% | peg_1.0_fair_value: +50.0% | roe_pb_implied: +9.7%,16.73,769.25,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 16.17% — good | PEG ~0.19 — undervalued vs growth | Dividend 2.18% — paid to hold | EPS growth 47.5% — strong | Revenue growth 10.3%,1-2 years,8,Q1: ROE>0 ✅ | Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q5: P/B positive ✅ | Q6: ROE>15% ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅ | Q9: PEG<1.5 ✅,7.0,5985.0,239.0,4.4,RECOVERY,True
ONGC,242.53,62,BUY,17,16,7,12,7.36,5.61,12.7,1.9,47.8,0.425,7.63,39.1,327.42,236.09,291.04,363.79,35.0,2.66,35.0,20.0,50.0,2.66,13.2,psu_other,Energy/PSU,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +50.0%,4.85,236.09,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.425 — manageable | PEG ~0.15 — undervalued vs growth | Dividend 7.63% — paid to hold | EPS growth 47.8% — strong | Earnings accelerating (fwd PE 5.61 vs 7.36),1-2 years,8,Q1: ROE>0 ✅ | Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅ | Q9: PEG<1.5 ✅,25.0,5983.0,159.0,4.4,RECOVERY,False
KOTAKBANK,390.3,62,BUY,12,19,15,12,19.12,15.28,,21.0,22.5,,17.0,56.5,526.9,374.69,468.36,585.45,35.0,4.0,35.0,20.0,50.0,4.0,8.8,private_bank,Banking,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +50.0%,7.81,367.77,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.85 — undervalued vs growth | Dividend 17.0% — paid to hold | EPS growth 22.5% | Revenue growth 21.0% | Earnings accelerating (fwd PE 15.28 vs 19.12),1-2 years,6,Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q5: P/B positive ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅ | Q9: PEG<1.5 ✅,15.0,5970.0,239.0,4.4,RECOVERY,False
VEDL,264.25,59,BUY,17,20,10,8,11.6,9.06,,-37.3,72.2,0.48,12.87,44.6,356.74,253.68,317.1,396.38,35.0,4.0,35.0,20.0,50.0,4.0,8.8,default,Metals & Mining,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +50.0%,5.29,249.7,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.48 — manageable | PEG ~0.16 — undervalued vs growth | Dividend 12.87% — paid to hold | EPS growth 72.2% — explosive | Earnings accelerating (fwd PE 9.06 vs 11.6),1-2 years,6,Q2: EPS growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅ | Q9: PEG<1.5 ✅,23.0,5998.0,240.0,4.4,RECOVERY,False
TATAELXSI,3672.9,58,BUY,20,16,6,12,34.97,25.55,,14.5,18.1,0.053,2.04,41.2,4334.02,3525.98,4069.57,4532.36,18.0,4.0,18.0,10.799999999999999,23.400000000000002,4.0,4.5,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,73.46,3353.9,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.053 — fortress balance sheet (+15) | Dividend 2.04% — paid to hold | EPS growth 18.1% | Revenue growth 14.5% | Earnings accelerating (fwd PE 25.55 vs 34.97),1-2 years,6,Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅,1.0,5437.0,217.0,4.0,RECOVERY,False
AXISBANK,1229.5,57,WATCH,12,16,8,11,13.83,9.72,13.35,14.0,21.8,,8.0,23.6,1434.83,1210.6,1327.86,1844.25,16.7,1.54,16.7,8.0,50.0,1.54,10.8,private_bank,Banking,"pe_anchored, peg_1.0_fair_value, roe_pb_implied",pe_anchored: +20.0% | peg_1.0_fair_value: +50.0% | roe_pb_implied: -20.0%,24.59,1210.6,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.63 — undervalued vs growth | Dividend 8.0% — paid to hold | EPS growth 21.8% | Revenue growth 14.0% | Earnings accelerating (fwd PE 9.72 vs 13.83),1-2 years,7,Q1: ROE>0 ✅ | Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q5: P/B positive ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅ | Q9: PEG<1.5 ✅,5.0,5763.0,89.0,4.2,RECOVERY,False
