Symbol,Signal_Date,Mode,Entry,Target,Stop_Loss,Outcome,Gross_Return_%,Net_Return_%,Hold_Days
APLAPOLLO,2020-02-25,swing,200.49,271.09,189.99,LOSS,-5.24,-5.54,90
AUBANK,2020-01-24,swing,484.85,714.7,463.76,LOSS,-4.35,-4.65,90
AUBANK,2020-02-25,swing,576.72,856.34,543.51,LOSS,-5.76,-6.06,90
AARTIIND,2020-01-24,swing,425.73,502.09,407.49,WIN,17.94,17.64,90
AARTIIND,2020-02-25,swing,502.66,694.42,471.86,LOSS,-6.13,-6.43,90
AARTIIND,2020-04-30,swing,545.16,861.81,504.16,LOSS,-7.52,-7.82,90
AARTIIND,2020-06-02,swing,483.14,706.77,450.81,LOSS,-6.69,-6.99,90
AAVAS,2020-01-24,swing,1999.85,2789.0,1909.79,LOSS,-4.5,-4.8,90
ABBOTINDIA,2020-02-25,swing,14628.73,19370.12,13904.81,LOSS,-4.95,-5.25,90
ABBOTINDIA,2020-03-26,swing,13058.64,16053.11,11561.41,WIN,22.93,22.63,90
ABBOTINDIA,2020-04-30,swing,16507.98,24068.24,15252.7,LOSS,-7.6,-7.9,90
ABBOTINDIA,2020-06-02,swing,15437.7,20359.66,14645.06,LOSS,-5.13,-5.43,90
ADANIENSOL,2020-01-24,swing,332.9,437.22,315.03,LOSS,-5.37,-5.67,90
ADANIENT,2020-01-24,swing,227.33,277.6,217.02,LOSS,-4.54,-4.84,90
ADANIENT,2020-02-25,swing,244.8,315.65,233.0,LOSS,-4.82,-5.12,90
ADANIGREEN,2020-01-24,swing,192.2,350.45,176.01,LOSS,-8.42,-8.72,90
ADANIGREEN,2020-02-25,swing,185.9,277.77,170.35,LOSS,-8.36,-8.66,90
ADANIGREEN,2020-04-30,swing,207.95,343.32,194.74,WIN,65.1,64.8,90
ADANIGREEN,2020-06-02,swing,260.75,475.33,247.12,WIN,82.29,81.99,90
ADANIPOWER,2020-01-24,swing,12.67,13.93,12.12,LOSS,-4.34,-4.64,90
ATGL,2020-01-24,swing,172.1,211.97,162.22,LOSS,-5.74,-6.04,90
ABFRL,2020-02-25,swing,274.27,359.44,257.07,LOSS,-6.27,-6.57,90
AJANTPHARM,2020-02-25,swing,884.98,1320.54,819.29,LOSS,-7.42,-7.72,90
AJANTPHARM,2020-04-30,swing,947.45,1392.4,859.88,LOSS,-9.24,-9.54,90
AJANTPHARM,2020-06-02,swing,907.47,1292.44,834.58,LOSS,-8.03,-8.33,90
ALKEM,2020-01-24,swing,2174.55,2675.37,2096.01,LOSS,-3.61,-3.91,90
ALKEM,2020-02-25,swing,2446.92,3327.18,2333.11,LOSS,-4.65,-4.95,90
ALKEM,2020-04-30,swing,2497.19,3168.17,2277.17,LOSS,-8.81,-9.11,90
ARE&M,2020-01-24,swing,735.3,933.1,710.29,LOSS,-3.4,-3.7,90
AMBER,2020-01-24,swing,1364.73,1953.5,1297.56,LOSS,-4.92,-5.22,90
AMBER,2020-02-25,swing,1548.48,2348.88,1438.06,LOSS,-7.13,-7.43,90
ANANTRAJ,2020-01-24,swing,15.31,18.86,14.17,LOSS,-7.45,-7.75,90
APOLLOHOSP,2020-01-24,swing,1659.41,2152.1,1601.25,LOSS,-3.5,-3.8,90
APOLLOHOSP,2020-02-25,swing,1768.16,2423.97,1698.33,LOSS,-3.95,-4.25,90
ASIANPAINT,2020-01-24,swing,1674.62,1806.65,1628.35,LOSS,-2.76,-3.06,90
ASIANPAINT,2020-02-25,swing,1715.03,1874.56,1666.36,LOSS,-2.84,-3.14,90
ASTERDM,2020-02-25,swing,128.85,153.15,121.37,LOSS,-5.81,-6.11,90
ASTRAL,2020-02-25,swing,667.21,759.71,638.48,LOSS,-4.31,-4.61,90
ATUL,2020-01-24,swing,4295.46,4942.39,4187.84,WIN,15.06,14.76,90
ATUL,2020-02-25,swing,4890.61,6430.27,4675.01,LOSS,-4.41,-4.71,90
ATUL,2020-04-30,swing,4868.05,6994.84,4475.25,LOSS,-8.07,-8.37,90
DMART,2020-01-24,swing,1924.7,2225.75,1854.94,WIN,15.64,15.34,90
DMART,2020-02-25,swing,2389.7,3388.25,2259.63,LOSS,-5.44,-5.74,90
DMART,2020-04-30,swing,2344.35,3147.83,2193.72,LOSS,-6.43,-6.73,90
DMART,2020-06-02,swing,2305.5,3050.7,2155.72,LOSS,-6.5,-6.8,90
BAJFINANCE,2020-01-24,swing,400.76,427.12,390.06,WIN,6.58,6.28,90
BAJFINANCE,2020-02-25,swing,466.63,591.8,453.63,LOSS,-2.79,-3.09,90
BAJAJFINSV,2020-01-24,swing,949.94,1166.91,928.32,LOSS,-2.28,-2.58,90
BALKRISIND,2020-02-25,swing,1170.03,1635.81,1115.57,LOSS,-4.65,-4.95,90
BALRAMCHIN,2020-01-24,swing,174.48,235.2,166.82,LOSS,-4.39,-4.69,90
BATAINDIA,2020-01-24,swing,1689.74,1942.7,1645.69,LOSS,-2.61,-2.91,90
BAYERCROP,2020-04-30,swing,3756.57,5432.37,3475.5,WIN,44.61,44.31,90
BAYERCROP,2020-06-02,swing,4422.32,7096.76,4122.72,OPEN,14.5,14.2,90
BERGEPAINT,2020-01-24,swing,447.13,538.95,430.77,LOSS,-3.66,-3.96,90
BERGEPAINT,2020-02-25,swing,459.87,554.67,443.34,LOSS,-3.59,-3.89,90
BERGEPAINT,2020-04-30,swing,419.97,557.83,388.3,LOSS,-7.54,-7.84,90
BHARTIARTL,2020-01-24,swing,500.57,731.63,480.41,LOSS,-4.03,-4.33,90
BHARTIARTL,2020-02-25,swing,506.54,661.47,483.38,LOSS,-4.57,-4.87,90
