Symbol,Signal_Date,Mode,Entry,Target,Stop_Loss,Outcome,Gross_Return_%,Net_Return_%,Hold_Days
360ONE,2021-03-08,swing,259.63,333.7,243.92,LOSS,-6.05,-6.35,90
360ONE,2021-04-09,swing,281.54,382.82,265.29,LOSS,-5.77,-6.07,90
360ONE,2021-06-11,swing,257.13,291.18,242.31,LOSS,-5.76,-6.06,90
360ONE,2021-07-12,swing,265.56,312.25,251.92,WIN,17.58,17.28,90
360ONE,2021-08-11,swing,351.85,523.52,324.74,LOSS,-7.7,-8.0,90
360ONE,2021-09-13,swing,375.23,568.58,352.17,LOSS,-6.15,-6.45,90
360ONE,2021-10-12,swing,353.88,462.9,334.23,LOSS,-5.55,-5.85,90
360ONE,2021-11-12,swing,362.37,411.41,337.84,LOSS,-6.77,-7.07,90
360ONE,2022-01-12,swing,357.26,433.88,338.32,LOSS,-5.3,-5.6,90
360ONE,2022-02-11,swing,379.79,490.22,358.57,LOSS,-5.59,-5.89,90
360ONE,2022-04-18,swing,406.42,520.97,381.92,LOSS,-6.03,-6.33,90
360ONE,2022-09-16,swing,395.87,533.72,378.31,OPEN,13.46,13.16,90
360ONE,2022-10-18,swing,436.68,542.01,413.14,LOSS,-5.39,-5.69,90
360ONE,2022-12-19,swing,431.77,482.4,410.1,LOSS,-5.02,-5.32,90
360ONE,2023-01-17,swing,428.84,468.73,408.89,LOSS,-4.65,-4.95,90
360ONE,2023-02-16,swing,434.58,476.37,413.68,LOSS,-4.81,-5.11,90
360ONE,2023-08-23,swing,489.3,623.99,469.29,LOSS,-4.09,-4.39,90
360ONE,2023-09-22,swing,496.51,602.79,467.6,WIN,21.41,21.11,90
360ONE,2023-10-25,swing,512.68,592.35,488.42,LOSS,-4.73,-5.03,90
360ONE,2023-11-24,swing,523.74,619.99,499.41,WIN,18.38,18.08,90
360ONE,2023-12-27,swing,631.53,865.87,595.51,LOSS,-5.7,-6.0,90
360ONE,2024-02-27,swing,751.37,1046.37,710.44,LOSS,-5.45,-5.75,90
360ONE,2024-05-03,swing,759.11,1011.83,702.02,LOSS,-7.52,-7.82,90
360ONE,2024-06-04,swing,764.89,959.88,720.86,LOSS,-5.76,-6.06,90
360ONE,2024-07-04,swing,924.94,1263.94,860.9,LOSS,-6.92,-7.22,90
360ONE,2024-08-05,swing,1035.91,1514.66,962.06,LOSS,-7.13,-7.43,90
360ONE,2024-09-04,swing,1076.71,1543.27,1018.9,LOSS,-5.37,-5.67,90
360ONE,2024-11-04,swing,1058.48,1237.14,987.94,LOSS,-6.66,-6.96,90
360ONE,2024-12-05,swing,1109.4,1364.46,1047.08,LOSS,-5.62,-5.92,90
360ONE,2025-01-06,swing,1275.31,1710.95,1206.49,LOSS,-5.4,-5.7,90
