Symbol,CMP,Score,Grade,Quality,Growth,Technical,Momentum,Sector_RS_Bonus,RS_Rank,Sector_Percentile,Market_Cap_Cr,PE,Fwd_PE,ROE_%,Rev_Growth_%,EPS_Growth_%,Debt_Eq,Div_Yield_%,RSI,Target,Stop_Loss,Target_Low,Target_High,Profit_%,Risk_%,Target_%,Target_%_Low,Target_%_High,SL_%,RR_Ratio,Sector_Bucket,Sector_Label,Valuation_Methods_Used,Valuation_Method_Detail,Real_Analyst_Target_Status,Real_Analyst_Target_Avg,Real_Analyst_Target_Low,Real_Analyst_Target_High,Real_Analyst_Num_Analysts,Target_Disclaimer,Reasons,Horizon,Shares_To_Buy,Deploy_₹,Max_Risk_₹,%_of_Portfolio,Regime_Multiplier_Applied,Sector_Leader_Bonus,Sector_Leader_Reasons,Confidence_%,Confidence_Factors,News_Status,News_Headlines,You_Hold,Held_Qty,Held_Avg,Unrealized_PnL_%,Additional_Shares_Room,Additional_Deploy_₹
MUTHOOTFIN,3026.0,86,STRONG BUY,22,30,14,12,0,67.9,66.7,121159.0,11.44,8.98,30.41,53.7,126.7,379.707,100.0,46.7,3631.2,2856.0707449630104,3631.2,3631.2,20.0,5.6,20.0,20.0,20.0,5.6,3.6,default,Diversified Financials,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +20.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 30.41% — excellent | PEG ~0.09 — undervalued vs growth | Dividend 100.0% — paid to hold | EPS growth 126.7% — explosive | Revenue growth 53.7% — exceptional | Earnings accelerating (fwd PE 8.98 vs 11.44),1-2 years,1,3026.0,169.93,2.2,0.375,8,"Top-3 RS in Diversified Financials, Highest ROE in Diversified Financials",86,Base: model score 86/100 from Quality+Growth+Technical+Momentum | PEG 0.09 — growth clearly outpaces price (+8) | D/E 379.707 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,1,3026.0
WAAREEENER,2602.7,81,STRONG BUY,22,30,14,11,0,21.0,58.3,78707.0,21.25,15.67,31.57,111.8,71.2,21.402,15.0,26.0,2889.0,2452.3296328609667,2732.83,3123.24,11.0,5.8,11.0,5.0,20.0,5.8,1.9,default,Renewables/Power,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 31.57% — excellent | PEG ~0.3 — undervalued vs growth | Dividend 15.0% — paid to hold | EPS growth 71.2% — explosive | Revenue growth 111.8% — exceptional | Earnings accelerating (fwd PE 15.67 vs 21.25),1-2 years,1,2602.7,150.37,1.9,0.375,4,Top-3 RS in Renewables/Power,81,Base: model score 81/100 from Quality+Growth+Technical+Momentum | PEG 0.30 — growth clearly outpaces price (+8) | D/E 21.402 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,1,2602.7
MMTC,60.8,78,STRONG BUY,21,25,11,11,10,35.1,95.8,9188.0,23.74,,20.27,165.2,8300.0,0.114,,25.8,67.49,56.812802864021066,63.84,72.96,11.0,6.6,11.0,5.0,20.0,6.6,1.7,default,Metals & Mining,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.","ROE 20.27% — good | D/E 0.114 — fortress balance sheet | PEG ~0.0 — undervalued vs growth | EPS growth 8300.0% — explosive | Revenue growth 165.2% — exceptional | RSI 26 — oversold, contrarian entry",1-2 years,83,5046.4,330.94,3.7,0.375,0,,86,Base: model score 78/100 from Quality+Growth+Technical+Momentum | PEG 0.00 — growth clearly outpaces price (+8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,83,5046.4
LLOYDSME,2053.0,78,STRONG BUY,22,30,8,0,10,85.9,95.8,115422.0,29.59,13.54,36.95,405.5,604.8,145.214,5.0,75.2,2278.83,1930.4316349366866,2155.65,2463.6,11.0,6.0,11.0,5.0,20.0,6.0,1.8,default,Metals & Mining,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 36.95% — excellent | PEG ~0.05 — undervalued vs growth | Dividend 5.0% — paid to hold | EPS growth 604.8% — explosive | Revenue growth 405.5% — exceptional | Earnings accelerating (fwd PE 13.54 vs 29.59),1-2 years,2,4106.0,245.14,3.0,0.375,8,"Top-3 RS in Metals & Mining, Highest ROE in Metals & Mining",78,Base: model score 78/100 from Quality+Growth+Technical+Momentum | PEG 0.05 — growth clearly outpaces price (+8) | D/E 145.214 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,2,4106.0
HINDCOPPER,484.05,76,STRONG BUY,15,30,8,9,10,98.3,95.8,46751.0,49.74,23.93,30.6,58.1,136.6,3.319,52.0,38.9,537.3,457.02169307467597,508.25,580.86,11.0,5.6,11.0,5.0,20.0,5.6,2.0,default,Metals & Mining,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.","ROE 30.6% — excellent | Dividend 52.0% — paid to hold | EPS growth 136.6% — explosive | Revenue growth 58.1% — exceptional | Earnings accelerating (fwd PE 23.93 vs 49.74) | RSI 39 — oversold, contrarian entry",1-2 years,10,4840.5,270.28,3.6,0.375,4,Top-3 RS in Metals & Mining,76,Base: model score 76/100 from Quality+Growth+Technical+Momentum | PEG 0.36 — growth clearly outpaces price (+8) | D/E 3.319 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,10,4840.5
MAZDOCK,2280.0,75,STRONG BUY,22,27,11,11,0,22.1,50.0,93092.0,35.84,28.32,28.77,21.3,109.0,4.481,84.0,24.9,2530.8,2176.6561948083204,2394.0,2736.0,11.0,4.5,11.0,5.0,20.0,4.5,2.4,default,Defense,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 28.77% — excellent | PEG ~0.33 — undervalued vs growth | Dividend 84.0% — paid to hold | EPS growth 109.0% — explosive | Revenue growth 21.3% | Earnings accelerating (fwd PE 28.32 vs 35.84),1-2 years,1,2280.0,103.34,1.7,0.375,4,Highest ROE in Defense,75,Base: model score 75/100 from Quality+Growth+Technical+Momentum | PEG 0.33 — growth clearly outpaces price (+8) | D/E 4.481 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,1,2280.0
SIGNATURE,809.95,75,STRONG BUY,17,25,18,15,0,5.4,54.2,11531.0,10.53,14.76,84.88,112.8,1789.7,161.04,,50.3,971.94,746.6624382404386,971.94,971.94,20.0,7.8,20.0,20.0,20.0,7.8,2.6,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +20.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 84.88% — excellent | PEG ~0.01 — undervalued vs growth | EPS growth 1789.7% — explosive | Revenue growth 112.8% — exceptional | Above 50 DMA | RSI 50 — ideal 1Y entry zone,1-2 years,6,4859.7,379.73,3.6,0.375,0,,75,Base: model score 75/100 from Quality+Growth+Technical+Momentum | PEG 0.01 — growth clearly outpaces price (+8) | D/E 161.04 — elevated leverage risk (-8),ok,"[20 Jul 2026, scanx.trade] ARSS Infrastructure Projects Clarifies Audit Qualification Signature Omission in FY26 Financial Results Filing",No,,,,6,4859.7
SHRIRAMFIN,1031.1,75,STRONG BUY,13,22,16,12,0,95.0,41.7,245813.0,18.45,14.56,18.5,39.1,29.5,276.215,1.33,49.9,1221.85,972.2549395338774,1207.42,1237.32,18.5,5.7,18.5,17.1,20.0,5.7,3.2,default,Housing Finance/NBFC,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +17.1%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 18.5% — good | PEG ~0.63 — undervalued vs growth | EPS growth 29.5% | Revenue growth 39.1% — exceptional | Earnings accelerating (fwd PE 14.56 vs 18.45) | Above 50 & 200 DMA — uptrend,1-2 years,4,4124.4,235.38,3.0,0.375,12,"Largest market cap in Housing Finance/NBFC, Top-3 RS in Housing Finance/NBFC, Highest ROE in Housing Finance/NBFC",75,Base: model score 75/100 from Quality+Growth+Technical+Momentum | PEG 0.63 — growth clearly outpaces price (+8) | D/E 276.215 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,4,4124.4
NMDC,85.65,73,STRONG BUY,22,21,8,12,10,78.7,95.8,75478.0,9.91,8.38,23.36,61.9,37.7,18.802,4.17,54.1,102.78,82.01201605833,102.78,102.78,20.0,4.2,20.0,20.0,20.0,4.2,4.8,psu_other,Metals & Mining,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +20.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 23.36% — excellent | PEG ~0.26 — undervalued vs growth | Dividend 4.17% — paid to hold | EPS growth 37.7% — strong | Revenue growth 61.9% — exceptional | RSI 54 — ideal 1Y entry zone,1-2 years,59,5053.35,214.64,3.7,0.375,0,,73,Base: model score 73/100 from Quality+Growth+Technical+Momentum | PEG 0.26 — growth clearly outpaces price (+8) | D/E 18.802 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,59,5053.35
GLAND,2582.1,73,STRONG BUY,12,27,16,4,10,80.5,91.7,41961.0,39.06,27.8,10.53,22.3,96.4,2.738,82.0,59.2,2866.13,2425.5785403807436,2711.21,3098.52,11.0,6.1,11.0,5.0,20.0,6.1,1.8,default,Pharma,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.41 — undervalued vs growth | Dividend 82.0% — paid to hold | EPS growth 96.4% — explosive | Revenue growth 22.3% | Earnings accelerating (fwd PE 27.8 vs 39.06) | Above 50 & 200 DMA — uptrend,1-2 years,1,2582.1,156.52,1.9,0.375,4,Top-3 RS in Pharma,73,Base: model score 73/100 from Quality+Growth+Technical+Momentum | PEG 0.41 — growth clearly outpaces price (+8) | D/E 2.738 — elevated leverage risk (-8),ok,"[30 Jul 2026, Moneycontrol.com] Trade Spotlight: How should you trade Time Technoplast, HEG, Gland Pharma, Bharti Airtel, Uniparts India,... || [29 Jul 2026, Samco] Top 14 Pharma Stocks To Buy In India July 2026",No,,,,1,2582.1
