Symbol,Book,Sector,Conviction,Risk_%,Deploy_₹,CMP,Included,Selection_Note
MUTHOOTFIN,Core,Diversified Financials,86,5.6,3026.0,3026.0,True,Included
MMTC,Core,Metals & Mining,86,6.6,5046.4,60.8,True,Included
BSE,Core,Capital Markets Infra,81,5.7,3520.2,3520.2,True,Included
WAAREEENER,Core,Renewables/Power,81,5.8,2602.7,2602.7,True,Included
RBLBANK,Core,Banking,79,5.3,4828.2,371.4,True,Included
LLOYDSME,Core,Metals & Mining,78,6.0,4106.0,2053.0,True,Included
HINDCOPPER,Core,Metals & Mining,76,5.6,4840.5,484.05,True,Included
AUBANK,Core,Banking,76,5.4,4113.6,1028.4,True,Included
SIGNATURE,Core,Diversified/Other,75,7.8,4859.7,809.95,True,Included
SHRIRAMFIN,Core,Housing Finance/NBFC,75,5.7,4124.4,1031.1,True,Included
MAZDOCK,Core,Defense,75,4.5,2280.0,2280.0,True,Included
NMDC,Core,Metals & Mining,73,4.2,5053.35,85.65,False,Skipped — already 3 positions in Metals & Mining (max 3)
GLAND,Core,Pharma,73,6.1,2582.1,2582.1,True,Included
CUB,Core,Banking,72,7.5,4900.28,222.74,True,Included
JKTYRE,Core,Auto & Ancillaries,71,5.7,4831.8,402.65,True,Included
NBCC,Core,Logistics & Infra,70,5.7,5047.92,93.48,True,Included
IOB,Core,Banking,70,4.2,5076.62,33.62,False,Skipped — already 3 positions in Banking (max 3)
BANDHANBNK,Core,Banking,70,9.0,5018.16,173.04,False,Skipped — already 3 positions in Banking (max 3)
GRANULES,Core,Pharma,70,5.9,5092.2,848.7,True,Included
ASIANPAINT,Core,Chemicals & Paints,70,4.3,2713.4,2713.4,True,Included
HINDZINC,Core,Metals & Mining,70,5.0,4838.85,537.65,False,Skipped — already 3 positions in Metals & Mining (max 3)
JIOFIN,Core,Diversified Financials,69,4.6,4925.2,246.26,True,Included
OFSS,Core,IT Services,69,7.1,0.0,11418.0,True,Included
CHOLAFIN,Core,Diversified Financials,69,5.9,3550.0,1775.0,True,Included
SAIL,Core,Metals & Mining,69,5.9,4931.74,170.06,False,Skipped — already 3 positions in Metals & Mining (max 3)
TATAINVEST,Core,Diversified/Other,68,4.7,4758.25,679.75,True,Included
MAHABANK,Core,Banking,68,6.0,5038.74,79.98,False,Skipped — already 3 positions in Banking (max 3)
KOTAKBANK,Core,Banking,67,4.1,5049.2,388.4,False,Skipped — already 3 positions in Banking (max 3)
PRESTIGE,Core,Real Estate,67,6.6,4830.0,1610.0,True,Included
CREDITACC,Core,Housing Finance/NBFC,67,6.1,4794.6,1598.2,True,Included
BLS,Core,Business/Support Services,66,6.2,5029.5,239.5,True,Included
