Trade_ID,Symbol,Mode,Signal_Date,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Deploy_₹,Stop_Loss,Target,Trailing_Stop,Exit_Reason,P&L_₹,P&L_%,Outcome,Portfolio_Value_After
0,AUBANK,swing,2020-01-23,2020-01-23,2020-01-24,484.85,537.58,28,13575.800000000001,463.76,537.58,456.73,TARGET,1476.44,10.88,WIN,48239.41
1,ATUL,swing,2020-01-23,2020-01-23,2020-01-24,4274.38,4435.01,1,4274.38,4167.29,4542.1,4131.59,PROFIT_BOOKING_1,160.63,3.76,PARTIAL_WIN,52674.420000000006
2,ATUL,swing,2020-01-23,2020-01-23,2020-01-27,4274.38,4542.1,2,8548.76,4167.29,4542.1,4131.59,TARGET,535.44,6.26,WIN,48441.37000000001
3,ICICIPRULI,swing,2020-01-23,2020-01-23,2020-01-27,501.95,526.21,13,6525.349999999999,485.78,542.39,480.39,PROFIT_BOOKING_1,315.38,4.83,PARTIAL_WIN,55282.10000000001
4,AUBANK,swing,2020-01-24,2020-01-24,2020-01-27,532.69,506.39,25,13317.250000000002,506.39,598.42,497.63,SL,-657.5,-4.94,LOSS,67941.85
5,JUBLFOOD,swing,2020-01-23,2020-01-23,2020-01-28,352.86,343.34,38,13408.68,343.34,376.67,340.17,SL,-361.76,-2.7,LOSS,67388.87
6,ICICIPRULI,swing,2020-01-23,2020-01-23,2020-02-03,501.95,485.78,14,7027.3,485.78,542.39,480.39,SL,-226.38,-3.22,LOSS,48208.78999999999
7,NAM-INDIA,swing,2020-01-27,2020-01-27,2020-02-03,302.22,287.88,45,13599.900000000001,287.88,338.08,283.1,SL,-645.3,-4.74,LOSS,61163.38999999999
8,GLAXO,swing,2020-01-28,2020-01-28,2020-02-03,1404.64,1360.54,9,12641.76,1360.54,1514.9,1345.84,SL,-396.9,-3.14,LOSS,73408.25
9,JUBLFOOD,swing,2020-01-30,2020-01-30,2020-02-03,360.52,378.87,18,6489.36,348.28,391.11,344.2,PROFIT_BOOKING_1,330.3,5.09,PARTIAL_WIN,80227.91
10,DRREDDY,swing,2020-02-04,2020-02-04,2020-02-05,620.35,599.94,21,13027.35,599.94,671.38,593.14,SL,-428.61,-3.29,LOSS,79799.3
11,FORTIS,swing,2020-01-23,2020-01-23,2020-02-07,152.87,167.75,88,13452.560000000001,146.92,167.75,144.94,TARGET,1309.44,9.73,WIN,94561.3
12,ABBOTINDIA,swing,2020-02-10,2020-02-10,2020-02-19,13245.53,14071.99,1,13245.53,12694.56,14622.96,12510.9,PROFIT_BOOKING_1,826.46,6.24,WIN,68764.96
13,ICICIBANK,swing,2020-02-12,2020-02-12,2020-02-24,531.28,514.44,25,13282.0,514.44,573.35,508.83,SL,-421.0,-3.17,LOSS,81625.96
