Sector,Avg_Return_%,Total_Return_%,N_Trades
Auto & Ancillaries,19.24,19.24,1
Banking,17.52,35.04,2
Pharma,10.645,21.29,2
Capital Markets Infra,10.508000000000001,52.540000000000006,5
Diversified Financials,8.7675,35.07,4
Metals & Mining,8.353333333333333,100.24000000000001,12
Diversified/Other,6.751818181818183,74.27000000000001,11
IT Services,4.19,20.950000000000003,5
Defense,2.8300000000000005,5.660000000000001,2
Consumer/Retail,2.1530000000000005,21.530000000000005,10
Insurance,1.7950000000000004,7.1800000000000015,4
