Symbol,Signal_Date,Mode,Entry,Exit,Outcome,Net_Return_%,Hold_Days,Shares,Deploy_₹,Note
MAZDOCK,2025-01-01,core,2211.53,2454.79,WIN,10.8,23,6,13269.18,
KALYANKJIL,2025-01-01,core,764.01,709.2,LOSS,-7.37,23,17,12988.17,
OFSS,2025-01-01,core,11863.13,11067.77,LOSS,-6.9,23,1,11863.13,
HINDZINC,2025-01-01,core,427.53,401.91,LOSS,-6.19,42,31,13253.43,
KALYANKJIL,2025-02-01,core,501.63,556.81,WIN,10.8,19,22,11035.86,
TITAN,2025-02-01,core,3468.4,3310.16,LOSS,-4.76,19,3,10405.2,
HINDCOPPER,2025-02-01,core,237.37,215.23,LOSS,-9.53,19,57,13530.09,
LICI,2025-02-01,core,407.64,387.93,LOSS,-5.04,19,33,13452.12,
MUTHOOTFIN,2025-01-01,core,2092.63,1989.0,LOSS,-5.15,81,6,12555.78,
MCX,2025-03-01,core,994.53,1103.93,WIN,10.8,39,13,12928.89,
OFSS,2025-03-01,core,7201.58,7993.75,WIN,10.8,39,1,7201.58,
KALYANKJIL,2025-03-01,core,460.9,511.6,WIN,10.8,39,24,11061.6,
CEMPRO,2025-03-01,core,533.77,510.39,LOSS,-4.58,39,25,13344.25,
RBLBANK,2025-04-01,core,172.9,191.92,WIN,10.8,19,78,13486.2,
LICI,2025-05-01,core,383.67,460.41,WIN,19.8,21,35,13428.45,
LLOYDSME,2025-05-01,core,1201.58,1333.76,WIN,10.8,21,11,13217.38,
MMTC,2025-05-01,core,56.19,62.37,WIN,10.8,21,221,12417.99,
HINDZINC,2025-03-01,core,376.31,451.57,WIN,19.8,81,36,13547.16,
OFSS,2025-06-01,core,8101.21,8992.35,WIN,10.8,21,1,8101.21,
KALYANKJIL,2025-05-01,core,515.04,571.7,WIN,10.8,65,26,13391.04,
BSE,2025-06-01,swing,2666.97,2469.53,LOSS,-7.6,44,5,13334.85,
WELCORP,2025-06-01,swing,927.45,863.69,LOSS,-7.07,44,14,12984.3,
MUTHOOTFIN,2025-06-01,core,2196.82,2636.19,WIN,19.8,44,6,13180.92,
SIGNATURE,2025-06-01,core,1212.2,1141.61,LOSS,-6.02,44,11,13334.2,
ACUTAAS,2025-06-01,core,1175.1,1304.36,WIN,10.8,44,11,12926.1,
DIVISLAB,2025-07-01,swing,6778.63,6502.71,LOSS,-4.27,23,2,13557.26,
LICI,2025-07-01,core,469.04,450.81,LOSS,-4.09,23,28,13133.12,
HINDZINC,2025-07-01,core,442.76,413.79,LOSS,-6.74,23,30,13282.8,
MMTC,2025-07-01,core,72.77,65.77,LOSS,-9.83,23,186,13535.22,
CGCL,2025-04-01,core,170.03,188.73,WIN,10.8,103,66,11221.98,
LLOYDSME,2025-08-01,core,1503.8,1416.26,LOSS,-6.02,19,9,13534.2,
KALYANKJIL,2025-08-01,core,592.96,560.91,LOSS,-5.61,19,22,13045.12,
MUTHOOTFIN,2025-08-01,core,2590.4,3108.48,WIN,19.8,41,5,12952.0,
KALYANKJIL,2025-09-01,core,502.68,466.33,LOSS,-7.43,22,27,13572.36,
OFSS,2025-09-01,core,7939.43,8812.76,WIN,10.8,22,1,7939.43,
ACUTAAS,2025-08-01,swing,1326.05,1728.24,WIN,30.13,61,10,13260.5,
HINDZINC,2025-08-01,core,416.44,499.73,WIN,19.8,61,32,13326.08,
CGCL,2025-09-01,core,185.16,205.53,WIN,10.8,42,73,13516.68,
KALYANKJIL,2025-10-01,core,454.3,504.27,WIN,10.8,20,29,13174.7,
BANKINDIA,2025-10-01,swing,119.51,140.71,WIN,17.54,40,113,13504.63,
BSE,2025-11-01,core,2472.49,2744.46,WIN,10.8,20,5,12362.45,
CANBK,2025-10-01,swing,119.76,149.03,WIN,24.24,62,113,13532.88,
PREMIERENE,2025-10-01,core,1020.8,957.39,LOSS,-6.41,62,13,13270.4,
LICI,2025-10-01,core,439.86,425.38,LOSS,-3.49,62,30,13195.8,
HINDZINC,2025-11-01,core,467.95,561.54,WIN,19.8,42,29,13570.55,
KALYANKJIL,2025-12-01,core,505.35,478.82,LOSS,-5.45,22,26,13139.1,
ANGELONE,2025-12-01,core,266.08,251.36,LOSS,-5.73,22,51,13570.08,
OFSS,2025-12-01,core,7881.21,7538.23,LOSS,-4.55,22,1,7881.21,
JSWSTEEL,2025-08-01,core,1042.31,1247.7,WIN,19.51,235,13,13550.03,Force-closed at end of backtest period
BAJAJ-AUTO,2025-09-01,core,8511.71,10166.0,WIN,19.24,216,1,8511.71,Force-closed at end of backtest period
GESHIP,2025-10-01,core,973.65,1418.8,WIN,45.52,194,13,12657.45,Force-closed at end of backtest period
LUPIN,2025-11-01,core,1963.5,2469.2,WIN,25.56,174,6,11781.0,Force-closed at end of backtest period
LTF,2026-01-01,swing,312.73,315.3,WIN,0.62,132,43,13447.39,Force-closed at end of backtest period
SIGNATURE,2026-01-01,core,1127.4,822.55,LOSS,-27.24,130,12,13528.8,Force-closed at end of backtest period
MAZDOCK,2026-01-01,core,2482.47,2359.9,LOSS,-5.14,132,5,12412.35,Force-closed at end of backtest period
KALYANKJIL,2026-01-01,core,485.35,529.75,WIN,8.95,132,28,13589.8,Force-closed at end of backtest period
BSE,2026-01-01,core,2625.28,3792.7,WIN,44.27,132,5,13126.4,Force-closed at end of backtest period
LLOYDSME,2026-01-01,core,1320.51,1825.5,WIN,38.04,132,10,13205.1,Force-closed at end of backtest period
